"sp";"photo";"taxref";"flore";"family";"rank";"source";"obs";"credit";"...10";"...11";"...12";"attribution";"idphoto";"idobs"
"Aristida adscensionis";"https://inaturalist-open-data.s3.amazonaws.com/photos/151139913/large.jpeg?1629098822";;"Aristida adscensionis";"Poaceae";5;"inat";"https://www.inaturalist.org/observations/91379458";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"151139913";"91379458"
"Aristida adscensionis";"https://inaturalist-open-data.s3.amazonaws.com/photos/151139939/large.jpeg?1629098843";;"Aristida adscensionis";"Poaceae";6;"inat";"https://www.inaturalist.org/observations/91379458";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"151139939";"91379458"
"Aristida adscensionis";"https://inaturalist-open-data.s3.amazonaws.com/photos/151139922/large.jpeg?1629098832";;"Aristida adscensionis";"Poaceae";7;"inat";"https://www.inaturalist.org/observations/91379458";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"151139922";"91379458"
"Aristida mauritiana";"http://mediaphoto.mnhn.fr/media/1442516245660kGDD7L9P1qSqwWjM";;"Aristida mauritiana";"Poaceae";;"mnhn";"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00541689";"MNHN - Paris, Museum National d'Histoire Naturelle, BO - 2007 CC BY";;;;;;
"Aristida setacea";"https://inaturalist-open-data.s3.amazonaws.com/photos/164611633/large.jpeg?1634760046";;"Aristida setacea";"Poaceae";1;"inat";"https://www.inaturalist.org/observations/98818874";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"164611633";"98818874"
"Aristida setacea";"https://inaturalist-open-data.s3.amazonaws.com/photos/164611697/large.jpeg?1634760069";;"Aristida setacea";"Poaceae";2;"inat";"https://www.inaturalist.org/observations/98818874";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"164611697";"98818874"
"Aristida setacea";"https://inaturalist-open-data.s3.amazonaws.com/photos/164611602/large.jpeg?1634760035";;"Aristida setacea";"Poaceae";3;"inat";"https://www.inaturalist.org/observations/98818874";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"164611602";"98818874"
"Aristida setacea";"https://inaturalist-open-data.s3.amazonaws.com/photos/164611738/large.jpeg?1634760083";;"Aristida setacea";"Poaceae";4;"inat";"https://www.inaturalist.org/observations/98818874";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"164611738";"98818874"
"Aristida setacea";"https://inaturalist-open-data.s3.amazonaws.com/photos/164611819/large.jpeg?1634760115";;"Aristida setacea";"Poaceae";5;"inat";"https://www.inaturalist.org/observations/98818874";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"164611819";"98818874"
"Aristida setacea";"https://inaturalist-open-data.s3.amazonaws.com/photos/164611842/large.jpeg?1634760127";;"Aristida setacea";"Poaceae";6;"inat";"https://www.inaturalist.org/observations/98818874";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"164611842";"98818874"
"Aristida setacea";"https://inaturalist-open-data.s3.amazonaws.com/photos/164611896/large.jpeg?1634760155";;"Aristida setacea";"Poaceae";7;"inat";"https://www.inaturalist.org/observations/98818874";;;;;"(c) François Rousseu, some rights reserved (CC BY-NC)";"164611896";"98818874"
"Arrhenatherum elatius";"https://inaturalist-open-data.s3.amazonaws.com/photos/95761815/large.jpeg?1600376190";;"Arrhenatherum elatius";"Poaceae";1;"inat";"https://www.inaturalist.org/observations/59911538";;;;;"(c) Stephen James McWilliam, some rights reserved (CC BY)";"95761815";"59911538"
"Arrhenatherum elatius";"https://inaturalist-open-data.s3.amazonaws.com/photos/131278344/large.jpg?1621869787";;"Arrhenatherum elatius";"Poaceae";2;"inat";"https://www.inaturalist.org/observations/80113976";;;;;"(c) Jörn Hentschel, some rights reserved (CC BY)";"131278344";"80113976"
"Arrhenatherum elatius";"https://inaturalist-open-data.s3.amazonaws.com/photos/86225544/large.jpeg?1595623005";;"Arrhenatherum elatius";"Poaceae";3;"inat";"https://www.inaturalist.org/observations/54199397";;;;;"(c) Stephen James McWilliam, some rights reserved (CC BY)";"86225544";"54199397"
